theta_deg,phi_deg,gain_dBi
8,305,14.065611
8,310,14.065611
8,315,14.065611
8,320,14.065611
8,325,14.065611
8,330,14.065611
8,335,14.065611
8,340,14.065611
8,345,14.065611
8,350,14.065611
8,355,14.065611
8,360,14.065611
10,0,13.537321
10,5,13.537321
10,10,13.537321
10,15,13.537321
10,20,13.537321
10,25,13.537321
10,30,13.537321
10,35,13.537321
10,40,13.537321
10,45,13.537321
10,50,13.537321
10,55,13.537321
10,60,13.537321
10,65,13.537321
10,70,13.537321
10,75,13.537321
10,80,13.537321
10,85,13.537321
10,90,13.537321
10,95,13.537321
10,100,13.537321
10,105,13.537321
10,110,13.537321
10,115,13.537321
10,120,13.537321
10,125,13.537321
10,130,13.537321
10,135,13.537321
10,140,13.537321
10,145,13.537321
10,150,13.537321
10,155,13.537321
10,160,13.537321
10,165,13.537321
10,170,13.537321
10,175,13.537321
10,180,13.537321
10,185,13.537321
10,190,13.537321
10,195,13.537321
10,200,13.537321
10,205,13.537321
10,210,13.537321
10,215,13.537321
10,220,13.537321
10,225,13.537321
10,230,13.537321
10,235,13.537321
10,240,13.537321
10,245,13.537321
10,250,13.537321
10,255,13.537321
10,260,13.537321
10,265,13.537321
10,270,13.537321
10,275,13.537321
10,280,13.537321
10,285,13.537321
10,290,13.537321
10,295,13.537321
10,300,13.537321
10,305,13.537321
10,310,13.537321
10,315,13.537321
10,320,13.537321
10,325,13.537321
10,330,13.537321
10,335,13.537321
10,340,13.537321
10,345,13.537321
10,350,13.537321
10,355,13.537321
10,360,13.537321
12,0,12.888967
12,5,12.888967
12,10,12.888967
12,15,12.888967
12,20,12.888967
12,25,12.888967
12,30,12.888967
12,35,12.888967
12,40,12.888967
12,45,12.888967
12,50,12.888967
12,55,12.888967
12,60,12.888967
12,65,12.888967
12,70,12.888967
12,75,12.888967
12,80,12.888967
12,85,12.888967
12,90,12.888967
12,95,12.888967
12,100,12.888967
12,105,12.888967
12,110,12.888967
12,115,12.888967
12,120,12.888967
12,125,12.888967
12,130,12.888967
12,135,12.888967
12,140,12.888967
12,145,12.888967
12,150,12.888967
12,155,12.888967
12,160,12.888967
12,165,12.888967
12,170,12.888967
12,175,12.888967
12,180,12.888967
12,185,12.888967
12,190,12.888967
12,195,12.888967
12,200,12.888967
12,205,12.888967
12,210,12.888967
12,215,12.888967
12,220,12.888967
12,225,12.888967
12,230,12.888967
12,235,12.888967
12,240,12.888967
12,245,12.888967
12,250,12.888967
12,255,12.888967
12,260,12.888967
12,265,12.888967
12,270,12.888967
12,275,12.888967
12,280,12.888967
12,285,12.888967
12,290,12.888967
12,295,12.888967
12,300,12.888967
12,305,12.888967
12,310,12.888967
12,315,12.888967
12,320,12.888967
12,325,12.888967
12,330,12.888967
12,335,12.888967
12,340,12.888967
12,345,12.888967
12,350,12.888967
12,355,12.888967
12,360,12.888967
14,0,12.118906
14,5,12.118906
14,10,12.118906
14,15,12.118906
14,20,12.118906
14,25,12.118906
14,30,12.118906
14,35,12.118906
14,40,12.118906
14,45,12.118906
14,50,12.118906
14,55,12.118906
14,60,12.118906
14,65,12.118906
14,70,12.118906
14,75,12.118906
14,80,12.118906
14,85,12.118906
14,90,12.118906
14,95,12.118906
14,100,12.118906
14,105,12.118906
14,110,12.118906
14,115,12.118906
14,120,12.118906
14,125,12.118906
14,130,12.118906
14,135,12.118906
14,140,12.118906
14,145,12.118906
14,150,12.118906
14,155,12.118906
14,160,12.118906
14,165,12.118906
14,170,12.118906
14,175,12.118906
14,180,12.118906
14,185,12.118906
14,190,12.118906
14,195,12.118906
14,200,12.118906
14,205,12.118906
14,210,12.118906
14,215,12.118906
14,220,12.118906
14,225,12.118906
14,230,12.118906
14,235,12.118906
14,240,12.118906
14,245,12.118906
14,250,12.118906
14,255,12.118906
14,260,12.118906
14,265,12.118906
14,270,12.118906
14,275,12.118906
14,280,12.118906
14,285,12.118906
14,290,12.118906
14,295,12.118906
14,300,12.118906
14,305,12.118906
14,310,12.118906
14,315,12.118906
14,320,12.118906
14,325,12.118906
14,330,12.118906
14,335,12.118906
14,340,12.118906
14,345,12.118906
14,350,12.118906
14,355,12.118906
14,360,12.118906
16,0,11.225160
16,5,11.225160
16,10,11.225160
16,15,11.225160
16,20,11.225160
16,25,11.225160
16,30,11.225160
16,35,11.225160
16,40,11.225160
16,45,11.225160
16,50,11.225160
16,55,11.225160
16,60,11.225160
16,65,11.225160
16,70,11.225160
16,75,11.225160
16,80,11.225160
16,85,11.225160
16,90,11.225160
16,95,11.225160
16,100,11.225160
16,105,11.225160
16,110,11.225160
16,115,11.225160
16,120,11.225160
16,125,11.225160
16,130,11.225160
16,135,11.225160
16,140,11.225160
16,145,11.225160
16,150,11.225160
16,155,11.225160
16,160,11.225160
16,165,11.225160
16,170,11.225160
16,175,11.225160
16,180,11.225160
16,185,11.225160
16,190,11.225160
16,195,11.225160
16,200,11.225160
16,205,11.225160
16,210,11.225160
16,215,11.225160
16,220,11.225160
16,225,11.225160
16,230,11.225160
16,235,11.225160
16,240,11.225160
16,245,11.225160
16,250,11.225160
16,255,11.225160
16,260,11.225160
16,265,11.225160
16,270,11.225160
16,275,11.225160
16,280,11.225160
16,285,11.225160
16,290,11.225160
16,295,11.225160
16,300,11.225160
16,305,11.225160
16,310,11.225160
16,315,11.225160
16,320,11.225160
16,325,11.225160
16,330,11.225160
16,335,11.225160
16,340,11.225160
16,345,11.225160
16,350,11.225160
16,355,11.225160
16,360,11.225160
18,0,10.205392
18,5,10.205392
18,10,10.205392
18,15,10.205392
18,20,10.205392
18,25,10.205392
18,30,10.205392
18,35,10.205392
18,40,10.205392
18,45,10.205392
18,50,10.205392
18,55,10.205392
18,60,10.205392
18,65,10.205392
18,70,10.205392
18,75,10.205392
18,80,10.205392
18,85,10.205392
18,90,10.205392
18,95,10.205392
18,100,10.205392
18,105,10.205392
18,110,10.205392
18,115,10.205392
18,120,10.205392
18,125,10.205392
18,130,10.205392
18,135,10.205392
18,140,10.205392
18,145,10.205392
18,150,10.205392
18,155,10.205392
18,160,10.205392
18,165,10.205392
18,170,10.205392
18,175,10.205392
18,180,10.205392
18,185,10.205392
18,190,10.205392
18,195,10.205392
18,200,10.205392
18,205,10.205392
18,210,10.205392
18,215,10.205392
18,220,10.205392
18,225,10.205392
18,230,10.205392
18,235,10.205392
18,240,10.205392
18,245,10.205392
18,250,10.205392
18,255,10.205392
18,260,10.205392
18,265,10.205392
18,270,10.205392
18,275,10.205392
18,280,10.205392
18,285,10.205392
18,290,10.205392
18,295,10.205392
18,300,10.205392
18,305,10.205392
18,310,10.205392
18,315,10.205392
18,320,10.205392
18,325,10.205392
18,330,10.205392
18,335,10.205392
18,340,10.205392
18,345,10.205392
18,350,10.205392
18,355,10.205392
18,360,10.205392
20,0,9.056880
20,5,9.056880
20,10,9.056880
20,15,9.056880
20,20,9.056880
20,25,9.056880
20,30,9.056880
20,35,9.056880
20,40,9.056880
20,45,9.056880
20,50,9.056880
20,55,9.056880
20,60,9.056880
20,65,9.056880
20,70,9.056880
20,75,9.056880
20,80,9.056880
20,85,9.056880
20,90,9.056880
20,95,9.056880
20,100,9.056880
20,105,9.056880
20,110,9.056880
20,115,9.056880
20,120,9.056880
20,125,9.056880
20,130,9.056880
20,135,9.056880
20,140,9.056880
20,145,9.056880
20,150,9.056880
20,155,9.056880
20,160,9.056880
20,165,9.056880
20,170,9.056880
20,175,9.056880
20,180,9.056880
20,185,9.056880
20,190,9.056880
20,195,9.056880
20,200,9.056880
20,205,9.056880
20,210,9.056880
20,215,9.056880
20,220,9.056880
20,225,9.056880
20,230,9.056880
20,235,9.056880
20,240,9.056880
20,245,9.056880
20,250,9.056880
20,255,9.056880
20,260,9.056880
20,265,9.056880
20,270,9.056880
20,275,9.056880
20,280,9.056880
20,285,9.056880
20,290,9.056880
20,295,9.056880
20,300,9.056880
20,305,9.056880
20,310,9.056880
20,315,9.056880
20,320,9.056880
20,325,9.056880
20,330,9.056880
20,335,9.056880
20,340,9.056880
20,345,9.056880
20,350,9.056880
20,355,9.056880
20,360,9.056880
22,0,7.776489
22,5,7.776489
22,10,7.776489
22,15,7.776489
22,20,7.776489
22,25,7.776489
22,30,7.776489
22,35,7.776489
22,40,7.776489
22,45,7.776489
22,50,7.776489
22,55,7.776489
22,60,7.776489
22,65,7.776489
22,70,7.776489
22,75,7.776489
22,80,7.776489
22,85,7.776489
22,90,7.776489
22,95,7.776489
22,100,7.776489
22,105,7.776489
22,110,7.776489
22,115,7.776489
22,120,7.776489
22,125,7.776489
22,130,7.776489
22,135,7.776489
22,140,7.776489
22,145,7.776489
22,150,7.776489
22,155,7.776489
22,160,7.776489
22,165,7.776489
22,170,7.776489
22,175,7.776489
22,180,7.776489
22,185,7.776489
22,190,7.776489
22,195,7.776489
22,200,7.776489
22,205,7.776489
22,210,7.776489
22,215,7.776489
22,220,7.776489
22,225,7.776489
22,230,7.776489
22,235,7.776489
22,240,7.776489
22,245,7.776489
22,250,7.776489
22,255,7.776489
22,260,7.776489
22,265,7.776489
22,270,7.776489
22,275,7.776489
22,280,7.776489
22,285,7.776489
22,290,7.776489
22,295,7.776489
22,300,7.776489
22,305,7.776489
22,310,7.776489
22,315,7.776489
22,320,7.776489
22,325,7.776489
22,330,7.776489
22,335,7.776489
22,340,7.776489
22,345,7.776489
22,350,7.776489
22,355,7.776489
22,360,7.776489
24,0,6.360636
24,5,6.360636
24,10,6.360636
24,15,6.360636
24,20,6.360636
24,25,6.360636
24,30,6.360636
24,35,6.360636
24,40,6.360636
24,45,6.360636
24,50,6.360636
24,55,6.360636
24,60,6.360636
24,65,6.360636
24,70,6.360636
24,75,6.360636
24,80,6.360636
24,85,6.360636
24,90,6.360636
24,95,6.360636
24,100,6.360636
24,105,6.360636
24,110,6.360636
24,115,6.360636
24,120,6.360636
24,125,6.360636
24,130,6.360636
24,135,6.360636
24,140,6.360636
24,145,6.360636
24,150,6.360636
24,155,6.360636
24,160,6.360636
24,165,6.360636
24,170,6.360636
24,175,6.360636
24,180,6.360636
24,185,6.360636
24,190,6.360636
24,195,6.360636
24,200,6.360636
24,205,6.360636
24,210,6.360636
24,215,6.360636
24,220,6.360636
24,225,6.360636
24,230,6.360636
24,235,6.360636
24,240,6.360636
24,245,6.360636
24,250,6.360636
24,255,6.360636
24,260,6.360636
24,265,6.360636
24,270,6.360636
24,275,6.360636
24,280,6.360636
24,285,6.360636
24,290,6.360636
24,295,6.360636
24,300,6.360636
24,305,6.360636
24,310,6.360636
24,315,6.360636
24,320,6.360636
24,325,6.360636
24,330,6.360636
24,335,6.360636
24,340,6.360636
24,345,6.360636
24,350,6.360636
24,355,6.360636
24,360,6.360636
