totalPathLength(m),timeDelay(ns),impulseResponse(dBm),waveEmissionAzimuth(rad),waveEmissionElevationAngle(rad),waveReachingAzimuth(rad),waveReachingElevationAngle(rad)
0,0,-47.09446252263568,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-46.28811863119738,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-45.227262240796264,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-34.90486359891139,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-35.006861274632584,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.42114588291257,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-54.74343778142983,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-52.86850237854367,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-51.80610025047261,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-51.30647997923944,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-41.577837743964594,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-53.543469283029935,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-50.4380803928271,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.452454820279,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-68.35624727337073,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-52.004228712225384,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-65.79632696795102,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-58.624398347198394,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-58.40993904919749,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.483735505740086,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.22175463094257,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.94647512485058,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-57.4842590223395,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-63.869414407586746,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-59.294095077876364,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-759.5974647976856,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-701.7172903878992,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-97.80330670146503,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-98.78032018320465,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-76.17289702680057,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-89.42019139101882,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-79.34025454184797,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-67.80630591267145,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-72.88176753140965,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.19458439866882,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-385.5503145237055,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-712.5773326097798,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-711.3287119510491,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-831.326524184068,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-707.817672632342,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-768.2362598397934,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-767.5038556787321,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-762.6022556873727,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-763.4218141245491,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-706.2318947437398,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-710.8151801317288,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-705.1626589367202,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-705.2652404477187,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
