id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,2000000000,1,0,1,0,9
1,Concrete[水泥],1,2000000000,5.24,0.0794525130225031,1,0,10
2,Brick[砖],2,2000000000,3.91,0.0265914338861188,1,0,11
3,Plasterboard[石膏板],3,2000000000,2.73,0.0163018392624216,1,0,12
4,Wood[木材],4,2000000000,1.99,0.00987965563939558,1,0,13
5,Glass[玻璃],5,2000000000,6.31,0.00910965808836761,1,0,14
6,Ceiling board[天花板],7,2000000000,1.48,0.00231739427910064,1,0,16
7,Chipboard[纤维板],9,2000000000,2.58,0.0372617399413985,1,0,18
8,Plywood[胶合板],10,2000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,2000000000,7.074,0.0104514529902343,1,0,20
10,Metal[金属],13,2000000000,1,10000000,1,0,22
11,Very dry ground[非常干燥的地面],14,2000000000,3,0.000860373148809496,1,0,23
12,Medium dry ground[中等干燥的地面],15,2000000000,13.9954948730521,0.108329549547967,1,0,24
41,Wet ground[潮湿地面],16,2000000000,22.735748497656,0.369343324003475,1,0,25
