id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,5000000000,1,0,1,0,9
1,Concrete[水泥],1,5000000000,5.24,0.16269578921069,1,0,10
2,Brick[砖],2,5000000000,3.91,0.0307901750333489,1,0,11
3,Plasterboard[石膏板],3,5000000000,2.73,0.0385568232683143,1,0,12
4,Wood[木材],4,5000000000,1.99,0.0263787315738823,1,0,13
5,Glass[玻璃],5,5000000000,6.31,0.0310815683325411,1,0,14
6,Ceiling board[天花板],7,5000000000,1.48,0.00620562373942212,1,0,16
7,Chipboard[纤维板],9,5000000000,2.58,0.0761476205708028,1,0,18
8,Plywood[胶合板],10,5000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,5000000000,7.074,0.0244201713814393,1,0,20
10,Metal[金属],13,5000000000,1,10000000,1,0,22
11,Very dry ground[非常干燥的地面],14,5000000000,3,0.00865955689536282,1,0,23
12,Medium dry ground[中等干燥的地面],15,5000000000,12.7700988378118,0.482379842538315,1,0,24
27,Wet ground[潮湿地面],16,5000000000,15.7591668264226,1.21549244751957,1,0,25
