id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,1000000000,1,0,1,0,9
1,Concrete[水泥],1,1000000000,5.24,0.0462,1,0,10
2,Brick[砖],2,1000000000,3.91,0.0238,1,0,11
3,Plasterboard[石膏板],3,1000000000,2.73,0.0085,1,0,12
4,Wood[木材],4,1000000000,1.99,0.0047,1,0,13
5,Glass[玻璃],5,1000000000,6.31,0.0036,1,0,14
6,Ceiling board[天花板],7,1000000000,1.48,0.0011,1,0,16
7,Chipboard[纤维板],9,1000000000,2.58,0.0217,1,0,18
8,Plywood[胶合板],10,1000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,1000000000,7.074,0.0055,1,0,20
10,Metal[金属],13,1000000000,1,10000000,1,0,22
11,Very dry ground[非常干燥的地面],14,1000000000,3,0.00015,1,0,23
12,Medium dry ground[中等干燥的地面],15,1000000000,15,0.035,1,0,24
27,Wet ground[潮湿地面],16,1000000000,30,0.15,1,0,25
