id,name,TypeNumber,Frequency(Hz),relativePermittivity,conductivity,relativePermeability,magnetoconductivity,ColorIndex
0,Vacuum(≈ air)[真空（≈ 空气）],0,10000000000,1,0,1,0,9
1,Concrete[水泥],1,10000000000,5.24,0.279796305432224,1,0,10
2,Brick[砖],2,10000000000,3.91,0.0344014665437531,1,0,11
3,Plasterboard[石膏板],3,10000000000,2.73,0.0739467218105478,1,0,12
4,Wood[木材],4,10000000000,1.99,0.0554495285434061,1,0,13
5,Glass[玻璃],5,10000000000,6.31,0.0786506834332456,1,0,14
6,Ceiling board[天花板],7,10000000000,1.48,0.0130735245018072,1,0,16
7,Chipboard[纤维板],9,10000000000,2.58,0.130755430178136,1,0,18
8,Plywood[胶合板],10,10000000000,2.71,0.33,1,0,19
9,Marble[大理石],11,10000000000,7.074,0.0464047769466506,1,0,20
10,Metal[金属],13,10000000000,1,10000000,1,0,22
11,Very dry ground[非常干燥的地面],14,10000000000,3,0.0496696682223887,1,0,23
12,Medium dry ground[中等干燥的地面],15,10000000000,11.9149235208642,1.49302831580557,1,0,24
52,Wet ground[潮湿地面],16,10000000000,11.9432151166049,2.99289347245332,1,0,25
